V,v1,v2,Id1,Id2,Id3,Id4,Ir,Td1,Td2,Td3,Td4
0.32,0.2432430692,0.0767569308,17.6485260242,-0.999912192,-0.999912192,17.6485260242,16.6486138323,302.7092933829,300.4864434209,300.4864434209,302.7092933829
0.33,0.2521302804,0.0778697196,18.4259936337,-0.9999375439,-0.9999375439,18.4259936337,17.4260560898,302.8696539134,300.5042290668,300.5042290668,302.8696539134
0.34,0.2610493422,0.0789506578,19.2098240616,-0.9999556287,-0.9999556287,19.2098240616,18.2098684329,303.0332564931,300.5220755181,300.5220755181,303.0332564931
0.35,0.2699984856,0.0800015144,19.999665631,-0.9999685118,-0.9999685118,19.999665631,18.9996971192,303.2000070761,300.5399799677,300.5399799677,303.2000070761
0.36,0.2789760671,0.0810239329,20.7951911013,-0.9999776778,-0.9999776778,20.7951911013,19.7952134235,303.3698163361,300.5579396795,300.5579396795,303.3698163361
0.37,0.287980558,0.082019442,21.5960957873,-0.9999841913,-0.9999841913,21.5960957873,20.5961115959,303.5425994526,300.5759520108,300.5759520108,303.5425994526
0.38,0.297010535,0.082989465,22.4020958106,-0.9999888147,-0.9999888147,22.4020958106,21.402106996,303.7182758933,300.5940144256,300.5940144256,303.7182758933
0.39,0.3060646719,0.0839353281,23.2129264813,-0.9999920929,-0.9999920929,23.2129264813,22.2129343885,303.8967691988,300.6121245037,300.6121245037,303.8967691988
0.4,0.3151417319,0.0848582681,24.0283408031,-0.999994415,-0.999994415,24.0283408031,23.0283463882,304.0780067698,300.6302799437,300.6302799437,304.0780067698
0.41,0.3242405602,0.0857594398,24.8481080976,-0.9999960583,-0.9999960583,24.8481080976,23.8481120393,304.2619196612,300.6484785643,300.6484785643,304.2619196612
0.42,0.3333600776,0.0866399224,25.6720127393,-0.9999972201,-0.9999972201,25.6720127393,24.6720155192,304.4484423834,300.6667183018,300.6667183018,304.4484423834
0.43,0.3424992748,0.0875007252,26.4998529951,-0.9999980409,-0.9999980409,26.4998529951,25.4998549542,304.6375127111,300.6849972076,300.6849972076,304.6375127111
0.44,0.3516572067,0.0883427933,27.3314399592,-0.9999986203,-0.9999986203,27.3314399592,26.3314413389,304.8290715021,300.703313443,300.703313443,304.8290715021
0.45,0.3608329877,0.0891670123,28.1665965772,-0.9999990289,-0.9999990289,28.1665965772,27.1665975483,305.0230625246,300.7216652747,300.7216652747,305.0230625246
0.46,0.3700257872,0.0899742128,29.0051567519,-0.999999317,-0.999999317,29.0051567519,28.005157435,305.2194322933,300.7400510689,300.7400510689,305.2194322933
0.47,0.379234825,0.090765175,29.8469645242,-0.9999995199,-0.9999995199,29.8469645242,28.8469650043,305.4181299152,300.7584692859,300.7584692859,305.4181299152
0.48,0.3884593683,0.0915406317,30.6918733217,-0.9999996627,-0.9999996627,30.6918733217,29.6918736591,305.6191069441,300.7769184745,300.7769184745,305.6191069441
0.49,0.3976987275,0.0923012725,31.5397452713,-0.9999997631,-0.9999997631,31.5397452713,30.5397455082,305.8223172432,300.7953972667,300.7953972667,305.8223172432
0.5,0.4069522537,0.0930477463,32.3904505675,-0.9999998337,-0.9999998337,32.3904505675,31.3904507337,306.0277168559,300.813904372,300.813904372,306.0277168559
0.51,0.4162193351,0.0937806649,33.2438668939,-0.9999998834,-0.9999998834,33.2438668939,32.2438670106,306.2352638855,300.832438573,300.832438573,306.2352638855
0.52,0.4254993949,0.0945006051,34.0998788921,-0.9999999182,-0.9999999182,34.0998788921,33.0998789739,306.4449183804,300.8509987201,300.8509987201,306.4449183804
0.53,0.4347918887,0.0952081113,34.9583776731,-0.9999999427,-0.9999999427,34.9583776731,33.9583777304,306.6566422281,300.8695837275,300.8695837275,306.6566422281
0.54,0.444096302,0.095903698,35.8192603692,-0.9999999598,-0.9999999598,35.8192603692,34.8192604093,306.8703990547,300.8881925684,300.8881925684,306.8703990547
0.55,0.4534121487,0.0965878513,36.6824297212,-0.9999999719,-0.9999999719,36.6824297212,35.6824297494,307.086154131,300.906824272,300.906824272,307.086154131
0.56,0.4627389686,0.0972610314,37.5477936991,-0.9999999803,-0.9999999803,37.5477936991,36.5477937187,307.3038742844,300.925477919,300.925477919,307.3038742844
0.57,0.4720763258,0.0979236742,38.4152651514,-0.9999999862,-0.9999999862,38.4152651514,37.4152651652,307.523527816,300.9441526386,300.9441526386,307.523527816
0.58,0.4814238075,0.0985761925,39.2847614837,-0.9999999904,-0.9999999904,39.2847614837,38.2847614933,307.7450844233,300.9628476056,300.9628476056,307.7450844233
0.59,0.4907810218,0.0992189782,40.1562043601,-0.9999999933,-0.9999999933,40.1562043601,39.1562043668,307.9685151273,300.981562037,300.981562037,307.9685151273
0.6,0.5001475972,0.0998524028,41.029519429,-0.9999999953,-0.9999999953,41.029519429,40.0295194337,308.193792204,301.0002951896,301.0002951896,308.193792204
0.61,0.5095231804,0.1004768196,41.9046360687,-0.9999999967,-0.9999999967,41.9046360687,40.904636072,308.4208891207,301.0190463574,301.0190463574,308.4208891207
0.62,0.5189074358,0.1010925642,42.7814871528,-0.9999999977,-0.9999999977,42.7814871528,41.7814871551,308.6497804752,301.0378148692,301.0378148692,308.6497804752
0.63,0.5283000442,0.1016999558,43.6600088325,-0.9999999984,-0.9999999984,43.6600088325,42.6600088341,308.8804419396,301.0566000866,301.0566000866,308.8804419396
0.64,0.5377007017,0.1022992983,44.5401403348,-0.9999999989,-0.9999999989,44.5401403348,43.540140336,309.1128502067,301.0754014022,301.0754014022,309.1128502067
0.65,0.5471091189,0.1028908811,45.4218237762,-0.9999999992,-0.9999999992,45.4218237762,44.4218237769,309.3469829404,301.0942182369,301.0942182369,309.3469829404
0.66,0.5565250199,0.1034749801,46.3050039884,-0.9999999995,-0.9999999995,46.3050039884,45.3050039889,309.5828187283,301.1130500393,301.1130500393,309.5828187283
0.67,0.5659481418,0.1040518582,47.1896283578,-0.9999999996,-0.9999999996,47.1896283578,46.1896283582,309.8203370376,301.1318962831,301.1318962831,309.8203370376
0.68,0.5753782334,0.1046217666,48.0756466757,-0.9999999997,-0.9999999997,48.0756466757,47.075646676,310.0595181732,301.1507564665,301.1507564665,310.0595181732
0.69,0.584815055,0.105184945,48.9630109984,-0.9999999998,-0.9999999998,48.9630109984,47.9630109985,310.3003432385,301.1696301098,301.1696301098,310.3003432385
0.7,0.5942583776,0.1057416224,49.8516755178,-0.9999999999,-0.9999999999,49.8516755178,48.8516755179,310.5427940983,301.188516755,301.188516755,310.5427940983
0.71,0.6037079822,0.1062920178,50.7415964406,-0.9999999999,-0.9999999999,50.7415964406,49.7415964407,310.7868533438,301.2074159643,301.2074159643,310.7868533438
0.72,0.6131636594,0.1068363406,51.6327318752,-0.9999999999,-0.9999999999,51.6327318752,50.6327318753,311.0325042599,301.2263273187,301.2263273187,311.0325042599
0.73,0.6226252086,0.1073747914,52.5250417267,-1.0,-1.0,52.5250417267,51.5250417267,311.2797307938,301.2452504172,301.2452504172,311.2797307938
0.74,0.632092438,0.107907562,53.4184875983,-1.0,-1.0,53.4184875983,52.4184875983,311.5285175258,301.2641848759,301.2641848759,311.5285175258
0.75,0.6415651635,0.1084348365,54.3130326998,-1.0,-1.0,54.3130326998,53.3130326998,311.7788496413,301.283130327,301.283130327,311.7788496413
0.76,0.6510432088,0.1089567912,55.2086417613,-1.0,-1.0,55.2086417613,54.2086417613,312.0307129049,301.3020864176,301.3020864176,312.0307129049
